"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"02.06.2023","63,80","63,06","63,80","62,78","","2,28%"
"01.06.2023","62,38","60,81","62,49","60,70","1,97M","3,64%"
"31.05.2023","60,19","62,49","62,51","59,60","10,80M","-3,94%"
"30.05.2023","62,66","63,84","63,96","62,66","2,56M","-2,17%"
"29.05.2023","64,05","64,80","65,00","63,96","1,08M","-1,11%"
"26.05.2023","64,77","62,47","64,89","62,43","2,47M","3,52%"
"25.05.2023","62,57","64,35","64,36","62,32","2,41M","-2,77%"
"24.05.2023","64,35","63,98","64,99","63,87","1,58M","0,41%"
"23.05.2023","64,09","64,61","65,00","63,99","1,45M","-0,88%"
"22.05.2023","64,66","64,43","65,05","64,14","1,42M","0,29%"
"19.05.2023","64,47","63,83","64,48","63,17","1,92M","1,62%"
"18.05.2023","63,44","63,60","64,11","63,13","1,60M","0,02%"
"17.05.2023","63,43","63,40","63,79","62,69","1,61M","-0,13%"
"16.05.2023","63,51","63,76","64,14","63,29","1,39M","-0,47%"
"15.05.2023","63,81","63,55","64,27","63,39","1,38M","0,87%"
"12.05.2023","63,26","62,40","63,55","61,90","2,41M","1,26%"
"11.05.2023","62,47","62,98","63,62","62,16","1,93M","-0,62%"
"10.05.2023","62,86","63,25","63,83","62,43","1,75M","0,37%"
"09.05.2023","62,63","63,16","63,16","61,99","1,55M","-0,84%"
"08.05.2023","63,16","63,32","63,93","62,90","1,35M","0,17%"
"05.05.2023","63,05","62,12","63,12","61,82","1,05M","1,82%"
"04.05.2023","61,92","62,99","63,55","61,75","2,08M","-1,70%"
"02.05.2023","62,99","63,12","64,52","62,93","2,02M","-0,68%"
"28.04.2023","63,42","65,00","65,06","62,90","2,85M","-1,92%"
"27.04.2023","64,66","63,10","65,00","62,79","2,63M","2,49%"
"26.04.2023","63,09","62,32","63,54","62,15","3,01M","1,38%"
"25.04.2023","62,23","62,12","63,15","62,00","2,68M","0,34%"
"24.04.2023","62,02","61,00","62,20","60,26","1,56M","1,11%"
"21.04.2023","61,34","60,80","61,65","60,42","2,37M","0,07%"
"20.04.2023","61,30","61,72","62,46","61,15","1,54M","-0,68%"
"19.04.2023","61,72","62,00","62,00","61,18","1,11M","-1,03%"
"18.04.2023","62,36","61,70","62,80","61,34","1,69M","1,07%"
"17.04.2023","61,70","61,70","62,58","61,32","1,83M","0,59%"
"14.04.2023","61,34","61,30","61,72","60,92","2,06M","0,36%"
"13.04.2023","61,12","60,82","61,40","60,46","2,48M","0,00%"
"12.04.2023","61,12","60,90","61,46","59,74","2,92M","0,96%"
"11.04.2023","60,54","59,12","60,74","59,12","1,98M","3,31%"
"06.04.2023","58,60","58,98","59,38","58,50","845,54K","-0,64%"
"05.04.2023","58,98","59,30","59,50","58,04","1,35M","-0,54%"
"04.04.2023","59,30","60,26","60,54","59,30","1,31M","-0,80%"
"03.04.2023","59,78","58,96","60,90","58,90","1,55M","2,64%"
"31.03.2023","58,24","58,64","58,94","57,82","1,66M","-0,21%"
"30.03.2023","58,36","57,10","58,70","56,86","1,87M","2,64%"
"29.03.2023","56,86","57,06","57,46","56,48","2,04M","-0,21%"
"28.03.2023","56,98","57,40","57,66","56,40","1,78M","0,35%"
"27.03.2023","56,78","57,04","57,40","55,90","944,71K","0,92%"
"24.03.2023","56,26","57,30","57,44","55,68","1,46M","-2,36%"
"23.03.2023","57,62","57,44","58,14","56,52","1,15M","-0,14%"
"22.03.2023","57,70","58,02","58,34","57,16","1,45M","-0,24%"
"21.03.2023","57,84","56,20","58,28","56,20","2,58M","3,88%"
"20.03.2023","55,68","55,10","55,92","53,38","2,67M","0,43%"
"17.03.2023","55,44","56,00","57,36","55,26","5,56M","-0,14%"
"16.03.2023","55,52","57,00","57,26","54,04","5,07M","-1,66%"
"15.03.2023","56,46","59,82","60,00","56,42","3,44M","-5,46%"
"14.03.2023","59,72","59,98","60,26","58,84","2,40M","-0,43%"
"13.03.2023","59,98","62,80","63,00","58,88","3,29M","-3,97%"
"10.03.2023","62,46","63,00","63,04","62,18","1,70M","-1,61%"
"09.03.2023","63,48","64,50","64,92","63,46","1,61M","-2,58%"
"08.03.2023","65,16","64,70","65,30","64,32","1,49M","0,09%"
"07.03.2023","65,10","65,70","66,06","65,06","1,82M","-1,87%"
"06.03.2023","66,34","66,00","66,48","65,50","1,29M","1,13%"
"03.03.2023","65,60","65,20","65,82","64,96","1,19M","0,68%"
"02.03.2023","65,16","65,84","65,84","64,38","2,20M","-1,69%"
"01.03.2023","66,28","66,66","67,60","65,72","4,29M","-0,57%"
"28.02.2023","66,66","63,38","66,86","62,64","6,40M","5,74%"
