Data,Cena ON,Cena E95
2009-07-13,3.88,4.59
2009-07-20,3.84,4.56
2009-07-27,3.79,4.52
2009-08-03,3.77,4.49
2009-08-10,3.76,4.46
2009-08-17,3.75,4.47
2009-08-25,3.79,4.44
2009-08-31,3.78,4.43
2009-09-07,3.76,4.42
2009-09-14,3.74,4.39
2009-09-21,3.72,4.36
2009-09-28,3.69,4.33
2009-10-05,3.68,4.29
2009-10-12,3.67,4.26
2009-10-19,3.67,4.23
2009-10-26,3.72,4.20
2009-11-02,3.79,4.27
2009-11-09,3.89,4.35
2009-11-16,3.87,4.35
2009-11-23,3.84,4.31
2009-11-30,3.79,4.29
2009-12-07,3.79,4.26
2009-12-14,3.78,4.26
2009-12-21,3.75,4.24
2009-12-28,3.73,4.22
2010-01-04,3.90,4.28
2010-01-11,3.94,4.27
2010-01-18,4.05,4.38
2010-01-26,4.02,4.35
2010-02-01,3.99,4.33
2010-02-08,3.99,4.35
2010-02-15,3.97,4.33
2010-02-23,3.99,4.33
2010-03-02,4.00,4.36
2010-03-09,4.03,4.39
2010-03-16,4.07,4.45
2010-03-23,4.08,4.48
2010-03-30,4.12,4.53
2010-04-06,4.12,4.54
2010-04-13,4.15,4.56
2010-04-20,4.22,4.58
2010-04-27,4.28,4.61
2010-05-04,4.30,4.64
2010-05-11,4.37,4.68
2010-05-18,4.42,4.69
2010-05-25,4.45,4.73
2010-06-01,4.41,4.69
2010-06-08,4.39,4.67
2010-06-16,4.43,4.70
2010-06-22,4.48,4.73
2010-06-29,4.46,4.71
2010-07-06,4.49,4.73
2010-07-13,4.44,4.71
2010-07-20,4.39,4.67
2010-07-27,4.38,4.65
2010-08-04,4.35,4.60
2010-08-10,4.32,4.59
2010-08-17,4.29,4.55
2010-08-24,4.28,4.54
2010-08-31,4.28,4.53
2010-09-07,4.29,4.52
2010-09-14,4.32,4.54
2010-09-21,4.33,4.54
2010-09-28,4.33,4.52
2010-10-05,4.30,4.49
2010-10-12,4.32,4.50
2010-10-19,4.35,4.54
2010-10-26,4.35,4.56
2010-11-02,4.35,4.54
2010-11-09,4.33,4.54
2010-11-10,4.33,4.54
2010-11-16,4.35,4.55
2010-11-23,4.39,4.59
2010-11-30,4.40,4.59
2010-12-07,4.53,4.73
2010-12-14,4.60,4.80
2010-12-21,4.66,4.84
2010-12-28,4.65,4.85
2011-01-04,4.69,4.89
2011-01-11,4.69,4.89
2011-01-18,4.69,4.85
2011-01-25,4.66,4.85
2011-02-01,4.64,4.82
2011-02-08,4.63,4.82
2011-02-15,4.64,4.79
2011-02-22,4.72,4.83
2011-03-01,4.78,4.86
2011-03-08,4.89,4.95
2011-03-15,4.95,5.02
2011-03-22,4.99,5.05
2011-03-29,5.02,5.07
2011-04-05,5.04,5.09
2011-04-12,5.05,5.14
2011-04-19,5.07,5.15
2011-04-26,5.06,5.15
2011-05-04,5.05,5.17
2011-05-11,5.05,5.17
2011-05-17,5.03,5.16
2011-05-25,5.01,5.14
2011-06-01,4.99,5.14
2011-06-08,4.99,5.14
2011-06-15,4.95,5.12
2011-06-22,4.95,5.09
2011-06-29,4.92,5.07
2011-07-06,4.89,5.05
2011-07-13,4.91,5.06
2011-07-20,4.94,5.15
2011-07-27,5.03,5.24
2011-08-03,5.08,5.29
2011-08-10,5.05,5.27
