index,Sex,Type,Age,Date,Value
1100,KOBIETY,D+E,25-34,2011,28
1092,KOBIETY,C+E,55-64,2011,2
1093,KOBIETY,C1,45-54,2011,1
1094,KOBIETY,C1+E,45-54,2011,1
1095,KOBIETY,D,18-24,2011,44
1096,KOBIETY,D,25-34,2011,148
1097,KOBIETY,D,35-44,2011,79
1098,KOBIETY,D,45-54,2011,20
1099,KOBIETY,D+E,18-24,2011,11
1101,KOBIETY,D+E,35-44,2011,13
1102,KOBIETY,D+E,45-54,2011,3
1103,KOBIETY,T,do 18,2011,14
1104,KOBIETY,T,18-24,2011,26
1105,KOBIETY,T,25-34,2011,7
1106,KOBIETY,T,35-44,2011,6
1107,KOBIETY,T,45-54,2011,1
1108,KOBIETY,U,18-24,2011,6
1109,KOBIETY,U,25-34,2011,15
1123,MĘŻCZYŹNI,A1,45-54,2011,2
1122,MĘŻCZYŹNI,A1,35-44,2011,10
1121,MĘŻCZYŹNI,A1,25-34,2011,10
1120,MĘŻCZYŹNI,A1,18-24,2011,87
1119,MĘŻCZYŹNI,A1,do 18,2011,1946
1118,MĘŻCZYŹNI,A,od 65,2011,6
1091,KOBIETY,C+E,45-54,2011,10
1117,MĘŻCZYŹNI,A,55-64,2011,182
1115,MĘŻCZYŹNI,A,35-44,2011,5385
1114,MĘŻCZYŹNI,A,25-34,2011,19804
1113,MĘŻCZYŹNI,A,18-24,2011,27032
1112,MĘŻCZYŹNI,A,do 18,2011,1
1111,KOBIETY,U,45-54,2011,7
1110,KOBIETY,U,35-44,2011,17
1116,MĘŻCZYŹNI,A,45-54,2011,1021
1125,MĘŻCZYŹNI,B,25-34,2011,30957
1090,KOBIETY,C+E,35-44,2011,42
1088,KOBIETY,C+E,18-24,2011,50
1057,KOBIETY,A,18-24,2011,2896
1058,KOBIETY,A,25-34,2011,3053
1059,KOBIETY,A,35-44,2011,881
1060,KOBIETY,A,45-54,2011,124
1061,KOBIETY,A,55-64,2011,5
1062,KOBIETY,A1,do 18,2011,87
1063,KOBIETY,A1,18-24,2011,8
1064,KOBIETY,A1,25-34,2011,1
1065,KOBIETY,A1,45-54,2011,1
1066,KOBIETY,B,18-24,2011,182849
1067,KOBIETY,B,25-34,2011,65609
1068,KOBIETY,B,35-44,2011,19635
1069,KOBIETY,B,45-54,2011,6636
1070,KOBIETY,B,55-64,2011,1659
1071,KOBIETY,B,od 65,2011,78
1072,KOBIETY,B+E,18-24,2011,170
1073,KOBIETY,B+E,25-34,2011,210
1087,KOBIETY,C,55-64,2011,2
1086,KOBIETY,C,45-54,2011,30
1085,KOBIETY,C,35-44,2011,117
1084,KOBIETY,C,25-34,2011,270
1083,KOBIETY,C,18-24,2011,174
1082,KOBIETY,B1,od 65,2011,1
1089,KOBIETY,C+E,25-34,2011,89
1081,KOBIETY,B1,45-54,2011,1
1079,KOBIETY,B1,25-34,2011,8
1078,KOBIETY,B1,18-24,2011,22
1077,KOBIETY,B1,do 18,2011,590
1076,KOBIETY,B+E,55-64,2011,4
1075,KOBIETY,B+E,45-54,2011,20
1074,KOBIETY,B+E,35-44,2011,97
1080,KOBIETY,B1,35-44,2011,1
1126,MĘŻCZYŹNI,B,35-44,2011,7029
1124,MĘŻCZYŹNI,B,18-24,2011,194955
1128,MĘŻCZYŹNI,B,55-64,2011,958
1172,MĘŻCZYŹNI,D+E,35-44,2011,816
1173,MĘŻCZYŹNI,D+E,45-54,2011,312
1174,MĘŻCZYŹNI,D+E,55-64,2011,54
1175,MĘŻCZYŹNI,D1,18-24,2011,1
1176,MĘŻCZYŹNI,D1,25-34,2011,7
1177,MĘŻCZYŹNI,D1,35-44,2011,10
1171,MĘŻCZYŹNI,D+E,25-34,2011,1533
1178,MĘŻCZYŹNI,D1,45-54,2011,5
1180,MĘŻCZYŹNI,D1+E,25-34,2011,1
1181,MĘŻCZYŹNI,D1+E,35-44,2011,5
1182,MĘŻCZYŹNI,D1+E,55-64,2011,1
1183,MĘŻCZYŹNI,T,do 18,2011,1393
1184,MĘŻCZYŹNI,T,18-24,2011,2629
1127,MĘŻCZYŹNI,B,45-54,2011,2219
1179,MĘŻCZYŹNI,D1,55-64,2011,1
1186,MĘŻCZYŹNI,T,35-44,2011,133
1170,MĘŻCZYŹNI,D+E,18-24,2011,455
1168,MĘŻCZYŹNI,D,45-54,2011,528
